financialYear,category,value
2008-09,Passenger Vehicles,1552703
2009-10,Passenger Vehicles,1951333
2010-11,Passenger Vehicles,2501542
2011-12,Passenger Vehicles,2629839
2012-13,Passenger Vehicles,2665015
2013-14,Passenger Vehicles,2503685
2008-09,Commercial Vehicles,384194
2009-10,Commercial Vehicles,532721
2010-11,Commercial Vehicles,684905
2011-12,Commercial Vehicles,809499
2012-13,Commercial Vehicles,793211
2013-14,Commercial Vehicles,632738
2008-09,Three Wheelers,349727
2009-10,Three Wheelers,440392
2010-11,Three Wheelers,526024
2011-12,Three Wheelers,513281
2012-13,Three Wheelers,538290
2013-14,Three Wheelers,479634
2008-09,Two Wheelers,7437619
2009-10,Two Wheelers,9370951
2010-11,Two Wheelers,11768910
2011-12,Two Wheelers,13409150
2012-13,Two Wheelers,13797185
2013-14,Two Wheelers,14805481
2008-09,Grand Total,9724243
2009-10,Grand Total,12295397
2010-11,Grand Total,15481381
2011-12,Grand Total,17361769
2012-13,Grand Total,17793701
2013-14,Grand Total,18421538
2025-26,Passenger Vehicles,4643439
2025-26,Commercial Vehicles,1079871
2025-26,Three Wheelers,836231
2025-26,Two Wheelers,21705974
2025-26,Grand Total,28265515
