yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2026,1,CNG ONLY,46548,42549,40639,39437,35763,16248,,,,,,,221184
calendar,2026,2,DIESEL,329527,288876,289821,262855,237921,109197,,,,,,,1518197
calendar,2026,3,DIESEL/HYBRID,1050,1071,1116,963,970,407,,,,,,,5577
calendar,2026,4,DUAL DIESEL/CNG,0,0,0,0,1,0,,,,,,,1
calendar,2026,5,ELECTRIC(BOV),60273,51199,51645,43839,40840,17935,,,,,,,265731
calendar,2026,6,ETHANOL(E100),7,7,5,2,5,0,,,,,,,26
calendar,2026,7,FLEX-FUEL(BIO-DIESEL),4,0,0,0,0,0,,,,,,,4
calendar,2026,8,FUEL CELL HYDROGEN,0,0,0,2,0,0,,,,,,,2
calendar,2026,9,LNG,57,15,0,15,30,45,,,,,,,162
calendar,2026,10,LPG ONLY,3105,3239,2273,1086,530,222,,,,,,,10455
calendar,2026,11,NOT APPLICABLE,9015,8875,8155,6946,4771,2542,,,,,,,40304
calendar,2026,12,PETROL,735285,668651,751182,720345,653537,240603,,,,,,,3769603
calendar,2026,13,PETROL/CNG,34694,20755,13507,10410,7325,2944,,,,,,,89635
calendar,2026,14,PETROL(E20),1319920,1177467,1287762,1309141,1212283,478866,,,,,,,6785439
calendar,2026,15,PETROL(E20)/CNG,89573,77141,96173,85643,87146,33998,,,,,,,469674
calendar,2026,16,PETROL(E20)/HYBRID,26804,18212,20164,19316,18478,7296,,,,,,,110270
calendar,2026,17,PETROL(E20)/HYBRID/CNG,39,26,23,10,4,0,,,,,,,102
calendar,2026,18,PETROL(E20)/LPG,459,186,100,33,5,0,,,,,,,783
calendar,2026,19,PETROL/HYBRID,7949,5223,5391,5242,4989,2047,,,,,,,30841
calendar,2026,20,PETROL/HYBRID/CNG,18,18,6,2,1,0,,,,,,,45
calendar,2026,21,PETROL/LPG,990,845,591,207,3,0,,,,,,,2636
calendar,2026,22,PLUG-IN HYBRID EV,6,2,3,1,1,0,,,,,,,13
calendar,2026,23,PURE EV,168809,152559,240230,207415,232105,102153,,,,,,,1103271
calendar,2026,24,STRONG HYBRID EV,11667,9349,10220,9960,8575,3679,,,,,,,53450
