yearType,year,serial,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2011,1,ANDAMAN & NICOBAR ISLAND,596,560,579,460,567,632,586,594,643,688,685,556,7146
calendar,2011,2,ANDHRA PRADESH,49362,60836,67541,54824,56859,63929,64552,59094,58460,56814,65988,56261,714520
calendar,2011,3,ARUNACHAL PRADESH,755,667,873,1002,964,978,933,899,1014,775,1059,964,10883
calendar,2011,4,ASSAM,14076,16072,17149,14725,17884,18901,18868,15128,19744,18138,19288,19256,209229
calendar,2011,5,BIHAR,27669,27925,35735,27912,32468,32838,28803,27559,31535,39170,37829,32393,381836
calendar,2011,6,CHANDIGARH,5471,3772,4520,3856,4596,3819,4124,3733,4081,3581,4952,3721,50226
calendar,2011,7,CHHATTISGARH,30344,30772,29523,28022,27070,28051,26094,24233,22951,23560,40499,20708,331827
calendar,2011,8,DELHI,43375,38426,40944,35231,38387,36426,38653,36557,34184,45913,46256,33086,467438
calendar,2011,9,GOA,6157,5991,6972,5777,5832,4888,4711,7888,5929,7648,6326,6434,74553
calendar,2011,10,GUJARAT,104540,108139,120210,106884,108403,114818,112755,103549,108686,140910,160871,114912,1404677
calendar,2011,11,HARYANA,43592,45583,52547,45837,49824,52575,52370,55071,56943,47439,62576,53328,617685
calendar,2011,12,HIMACHAL PRADESH,7131,6576,7383,6908,7432,7427,7494,6377,5951,7773,11108,7594,89154
calendar,2011,13,JAMMU AND KASHMIR,7842,6577,7557,7306,8556,7944,8371,9079,8183,7318,8420,8861,96014
calendar,2011,14,JHARKHAND,19870,24998,24511,22175,25020,21601,25700,18332,20558,19507,30418,24444,277134
calendar,2011,15,KARNATAKA,115400,106968,127752,90334,102594,110628,95340,108607,106380,109306,112036,83818,1269163
calendar,2011,16,KERALA,65191,56049,63915,53782,65194,63249,61003,70274,77858,69625,65186,70693,782019
calendar,2011,17,LADAKH,31,105,45,48,103,140,279,238,232,219,129,121,1690
calendar,2011,18,LAKSHADWEEP,120,104,198,127,147,134,103,86,61,105,75,96,1356
calendar,2011,19,MADHYA PRADESH,80769,75891,77522,67126,72307,78341,67530,56365,56149,65982,100165,82256,880403
calendar,2011,20,MAHARASHTRA,185011,148681,183128,159315,151559,140746,141031,146775,151668,189451,217443,157133,1971941
calendar,2011,21,MANIPUR,2037,1787,2163,1766,2221,2185,2339,1843,1745,1623,1724,2126,23559
calendar,2011,22,MEGHALAYA,2065,2222,2647,2076,2182,2275,1221,1659,2032,1728,2149,1939,24195
calendar,2011,23,MIZORAM,1277,1058,1236,1103,1194,1259,1204,1274,1225,1098,1184,1308,14420
calendar,2011,24,NAGALAND,1862,1871,2168,1850,1966,2003,1816,1878,1973,1804,2121,1603,22915
calendar,2011,25,ODISHA,34517,32330,36386,34483,37334,34676,37204,32500,31014,37817,35929,34577,418767
calendar,2011,26,PUDUCHERRY,6892,6465,7682,5614,6998,7571,7503,7910,7659,6519,6678,5527,83018
calendar,2011,27,PUNJAB,36059,44305,50277,40681,40735,49392,52838,45395,50914,45011,60616,63038,579261
calendar,2011,28,RAJASTHAN,61521,71244,70641,66372,77628,80223,77304,70317,74915,86865,119637,91511,948178
calendar,2011,29,SIKKIM,669,644,545,457,389,385,331,242,710,483,698,579,6132
calendar,2011,30,TAMIL NADU,149484,150984,162097,120580,138370,153307,153904,151510,159650,119326,153686,115694,1728592
calendar,2011,31,TELANGANA,39001,25029,52971,42311,38950,43751,41459,39191,17535,16225,76672,52407,485502
calendar,2011,32,TRIPURA,2363,2118,2802,1601,2280,2436,2458,2071,2980,2653,2277,2271,28310
calendar,2011,33,UT OF DNH AND DD,988,1231,1299,1040,993,1277,1036,925,1149,1277,1608,1549,14372
calendar,2011,34,UTTARAKHAND,14153,13304,14921,12918,15157,14692,14730,11932,13450,13908,21101,13133,173399
calendar,2011,35,UTTAR PRADESH,138066,137297,143418,147740,171486,163961,135069,115056,110268,163497,172523,115598,1713979
calendar,2011,36,WEST BENGAL,47375,45515,54923,39112,48572,52480,46750,47240,61494,36484,61936,56052,597933
