yearType,year,serial,vehicle_class,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2013,1,ADAPTED VEHICLE,340,294,270,284,440,377,613,453,351,371,453,425,4671
calendar,2013,2,AGRICULTURAL TRACTOR,37011,36451,42209,35875,38986,41915,42633,34772,36327,38583,37814,49523,472099
calendar,2013,3,AMBULANCE,948,786,832,933,711,859,826,697,685,889,774,908,9848
calendar,2013,4,ANIMAL AMBULANCE,4,1,6,3,3,3,2,1,0,2,3,4,32
calendar,2013,5,ARMOURED/SPECIALISED VEHICLE,0,0,0,0,0,0,0,0,0,1,0,0,1
calendar,2013,6,ARTICULATED VEHICLE,714,704,699,681,487,412,435,446,427,516,290,344,6155
calendar,2013,7,AUXILIARY TRAILER,1,1,1,0,0,1,4,0,0,0,0,3,11
calendar,2013,8,BREAKDOWN VAN,8,5,5,4,2,2,2,3,4,4,5,1,45
calendar,2013,9,BULLDOZER,0,1,1,0,1,1,2,3,4,2,4,2,21
calendar,2013,10,BUS,4006,3702,4649,5706,5879,5934,5939,5040,4954,5006,3509,3489,57813
calendar,2013,11,CAMPER VAN / TRAILER,32,9,12,15,17,12,18,17,13,12,16,15,188
calendar,2013,12,CAMPER VAN / TRAILER (PRIVATE USE),121,86,47,35,23,25,31,24,29,22,27,30,500
calendar,2013,13,CASH VAN,34,36,54,39,29,30,38,70,49,28,26,22,455
calendar,2013,14,CONSTRUCTION EQUIPMENT VEHICLE,604,508,550,541,497,508,517,330,320,464,493,538,5870
calendar,2013,15,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),26,13,17,27,21,13,12,20,25,14,11,14,213
calendar,2013,16,CRANE MOUNTED VEHICLE,412,375,352,404,358,308,306,266,228,330,249,285,3873
calendar,2013,17,DUMPER,291,410,442,321,211,255,208,216,206,239,284,304,3387
calendar,2013,18,EARTH MOVING EQUIPMENT,862,776,1004,887,844,756,752,570,669,720,621,655,9116
calendar,2013,19,EDUCATIONAL INSTITUTION BUS,601,620,838,1004,1682,3608,2671,1881,1197,1124,648,591,16465
calendar,2013,20,E-RICKSHAW(P),2,2,3,5,2,5,0,1,1,6,5,6,38
calendar,2013,21,EXCAVATOR (COMMERCIAL),313,303,276,317,279,244,252,212,228,238,218,244,3124
calendar,2013,22,EXCAVATOR (NT),725,739,783,695,663,664,588,496,571,600,566,692,7782
calendar,2013,23,FIRE FIGHTING VEHICLE,26,35,23,24,30,28,13,16,20,34,13,19,281
calendar,2013,24,FIRE TENDERS,3,2,13,3,11,13,6,6,36,8,35,13,149
calendar,2013,25,FORK LIFT,46,53,52,61,52,39,49,53,31,38,32,45,551
calendar,2013,26,GOODS CARRIER,63236,57603,63952,62822,53431,49045,51923,44708,46777,54098,49194,43165,639954
calendar,2013,27,HARVESTER,339,399,460,362,259,269,208,216,333,365,256,356,3822
calendar,2013,28,HEARSES,8,5,11,5,8,5,11,6,12,6,4,3,84
calendar,2013,29,LIBRARY VAN,1,0,1,4,0,2,0,3,1,0,3,1,16
calendar,2013,30,LUXURY CAB,225,222,236,275,223,136,91,100,269,312,208,198,2495
calendar,2013,31,MAXI CAB,5778,5876,6497,5558,5003,4634,4746,4011,3901,4454,4013,3747,58218
calendar,2013,32,M-CYCLE/SCOOTER,1126685,1071778,1073112,1109883,1173484,1075017,1045595,946866,985098,1214698,1380535,1104867,13307618
