station_id,oaq_id,station_name,city,repository_years_listed,first_listed_year,last_listed_year,pm25_usable_years,pm25_first_usable_year,pm25_last_usable_year,pm25_total_days,pm10_usable_years,pm10_first_usable_year,pm10_last_usable_year,pm10_total_days
site_114,114,"IHBAS, Dilshad Garden, Delhi - CPCB",New Delhi,17,2009,2025,15,2011,2025,4712,6,2020,2025,1974
site_117,117,"ITO, Delhi - CPCB",New Delhi,17,2009,2025,17,2009,2025,4678,10,2016,2025,2949
site_124,124,"R K Puram, Delhi - DPCC",New Delhi,17,2009,2025,14,2011,2025,4299,12,2013,2025,3809
site_122,122,"Mandir Marg, Delhi - DPCC",New Delhi,17,2009,2025,14,2011,2025,4256,11,2015,2025,3778
site_125,125,"Punjabi Bagh, Delhi - DPCC",Delhi,17,2009,2025,14,2011,2025,4156,11,2015,2025,3618
site_273,273,"Ardhali Bazar, Varanasi - UPPCB",Varanasi,17,2009,2025,13,2013,2025,4066,13,2013,2025,3721
site_276,276,"Nehru Nagar, Kanpur - UPPCB",Kanpur,17,2009,2025,11,2015,2025,3819,8,2013,2025,1879
site_113,113,"Shadipur, Delhi - CPCB",New Delhi,17,2009,2025,11,2015,2025,3810,6,2020,2025,1997
site_301,301,"Anand Vihar, Delhi - DPCC",Delhi,17,2009,2025,13,2012,2025,3788,11,2015,2025,3540
site_288,288,"Velachery Res. Area, Chennai - CPCB",Chennai,17,2009,2025,11,2015,2025,3765,5,2021,2025,1661
site_306,306,"Manali, Chennai - CPCB",manali,17,2009,2025,11,2015,2025,3732,5,2021,2025,1658
site_277,277,"Lalbagh, Lucknow - CPCB",Lucknow,17,2009,2025,11,2015,2025,3717,6,2020,2025,1994
site_294,294,"Sanathnagar, Hyderabad - TSPCB",Hyderabad,17,2009,2025,11,2015,2025,3711,0,,,0
site_272,272,"Kendriya Vidyalaya, Lucknow - CPCB",Lucknow,17,2009,2025,11,2015,2025,3711,6,2020,2025,1985
site_115,115,"NSIT Dwarka, Delhi - CPCB",New Delhi,17,2009,2025,11,2015,2025,3564,6,2020,2025,1999
site_307,307,"Sanjay Palace, Agra - UPPCB",Agra,10,2016,2025,10,2016,2025,3555,5,2021,2025,1572
site_293,293,"Alandur Bus Depot, Chennai - CPCB",Arul Nagar,17,2009,2025,11,2015,2025,3552,6,2020,2025,1639
site_308,308,"Maninagar, Ahmedabad - GPCB",Ahmedabad,17,2009,2025,11,2015,2025,3503,7,2019,2025,2367
site_297,297,"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,17,2009,2025,11,2015,2025,3480,6,2020,2025,1997
site_163,163,"Peenya, Bengaluru - CPCB",Bengaluru,17,2009,2025,11,2015,2025,3474,7,2017,2025,1607
site_298,298,"Zoo Park, Hyderabad - TSPCB",Hyderabad,11,2015,2025,11,2015,2025,3472,11,2015,2025,3403
site_158,158,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Muzaffarpur,11,2015,2025,11,2015,2025,3463,0,,,0
site_162,162,"BTM Layout, Bengaluru - CPCB",Bengaluru,17,2009,2025,11,2015,2025,3354,6,2020,2025,1700
site_157,157,"IGSC Planetarium Complex, Patna - BSPCB",Patna,11,2015,2025,11,2015,2025,3349,0,,,0
site_303,303,"Opp GPO Civil Lines, Nagpur - MPCB",Nagpur,10,2016,2025,10,2016,2025,3338,10,2016,2025,3322
site_304,304,"Gangapur Road, Nashik - MPCB",Nashik,10,2016,2025,10,2016,2025,3287,10,2016,2025,3285
site_159,159,"Collectorate, Gaya - BSPCB",Gaya,11,2015,2025,10,2016,2025,3252,0,,,0
site_118,118,"DTU, Delhi - CPCB",New Delhi,17,2009,2025,11,2015,2025,3240,9,2015,2025,2785
site_136,136,"Collectorate, Jodhpur - RSPCB",Jodhpur,11,2015,2025,11,2015,2025,3232,11,2015,2025,3211
site_260,260,"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,10,2016,2025,10,2016,2025,3210,10,2016,2025,3210
site_263,263,"Sector- 16A, Faridabad - HSPCB",Faridabad,17,2009,2025,10,2015,2024,3206,0,,,0
site_119,119,"Sirifort, Delhi - CPCB",New Delhi,17,2009,2025,10,2016,2025,3156,8,2018,2025,2778
site_251,251,"ICRISAT Patancheru, Hyderabad - TSPCB",Patancheruvu,9,2017,2025,9,2017,2025,3155,9,2017,2025,3166
site_199,199,"Bollaram Industrial Area, Hyderabad - TSPCB",Hyderabad,9,2017,2025,9,2017,2025,3144,9,2017,2025,3143
site_144,144,"Vasundhara, Ghaziabad - UPPCB",Ghaziabad,9,2017,2025,9,2017,2025,3143,9,2017,2025,3086
site_302,302,"Solapur, Solapur - MPCB",Solapur,10,2016,2025,10,2016,2025,3091,10,2016,2025,3148
site_256,256,"Golden Temple, Amritsar - PPCB",Amritsar,9,2017,2025,9,2017,2025,3088,9,2017,2025,3120
site_253,253,"Punjab Agricultural University, Ludhiana - PPCB",Ludhiana,9,2017,2025,9,2017,2025,3082,9,2017,2025,3048
site_255,255,"RIMT University, Mandi Gobindgarh - PPCB",Fatehgarh Sahib,9,2017,2025,9,2017,2025,3080,9,2017,2025,3055
site_275,275,"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,10,2016,2025,10,2016,2025,3075,10,2016,2025,3074
site_134,134,"Police Commissionerate, Jaipur - RSPCB",Jaipur,9,2017,2025,9,2017,2025,3053,9,2017,2025,3005
site_262,262,"Central University, Hyderabad - TSPCB",Hyderabad,9,2017,2025,9,2017,2025,3042,9,2017,2025,3030
site_252,252,"Plammoodu, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,9,2017,2025,9,2017,2025,3014,9,2017,2025,3010
site_153,153,"Sector - 125, Noida - UPPCB",Noida,9,2017,2025,9,2017,2025,3011,9,2017,2025,3024
site_1399,1399,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Vemuluru,9,2017,2025,9,2017,2025,2997,9,2017,2025,3006
site_108,108,"Aya Nagar, Delhi - IITM",Gurugram,9,2017,2025,9,2017,2025,2969,9,2017,2025,2961
site_1393,1393,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,9,2017,2025,9,2017,2025,2969,9,2017,2025,2969
site_1396,1396,"Shastri Nagar, Jaipur - RSPCB",Jaipur,9,2017,2025,9,2017,2025,2960,9,2017,2025,2960
site_292,292,"Karve Road, Pune - MPCB",Pune,11,2015,2025,11,2015,2025,2958,11,2015,2025,2903
site_1397,1397,"Ashok Nagar, Udaipur - RSPCB",Kodiyat,9,2017,2025,9,2017,2025,2949,9,2017,2025,2948
site_1402,1402,"Sector-2 Industrial Area, Pithampur - MPPCB",Pithampur,9,2017,2025,9,2017,2025,2945,9,2017,2025,2943
site_1392,1392,"Civil Lines,  Ajmer - RSPCB",Ajmer,9,2017,2025,9,2017,2025,2942,9,2017,2025,2945
site_1394,1394,"Shrinath Puram, Kota - RSPCB",Kota,9,2017,2025,9,2017,2025,2938,9,2017,2025,2939
site_103,103,"CRRI Mathura Road, Delhi - IITM",New Delhi,9,2017,2025,9,2017,2025,2937,9,2017,2025,2877
site_1401,1401,"Suryakiran Bhawan NCL, Singrauli - MPPCB",Jayant,9,2017,2025,9,2017,2025,2925,9,2017,2025,2879
site_1390,1390,"Moti Doongri, Alwar - RSPCB",Alwar,9,2017,2025,9,2017,2025,2924,9,2017,2025,2915
site_1391,1391,"RIICO Ind. Area III, Bhiwadi - RSPCB",Bhiwadi,9,2017,2025,9,2017,2025,2921,9,2017,2025,2923
site_109,109,"IMD Lodhi Road, Delhi - IITM",New Delhi,9,2017,2025,9,2017,2025,2917,9,2017,2025,2916
site_1404,1404,"Bhopal Chauraha, Dewas - MPPCB",Dewas,9,2017,2025,9,2017,2025,2903,9,2017,2025,2932
site_1395,1395,"Indira Colony Vistar, Pali - RSPCB",Pali,9,2017,2025,9,2017,2025,2896,9,2017,2025,2945
site_147,147,"MD University, Rohtak - HSPCB",Sasroli,10,2016,2025,10,2016,2025,2892,4,2016,2025,294
site_1438,1438,"Civil Line, Jalandhar - PPCB",Jalandhar,9,2017,2025,8,2018,2025,2884,8,2018,2025,2885
site_105,105,"North Campus, DU, Delhi - IITM",New Delhi,9,2017,2025,9,2017,2025,2883,9,2017,2025,2865
site_1428,1428,"Okhla Phase-2, Delhi - DPCC",New Delhi,9,2017,2025,8,2018,2025,2882,8,2018,2025,2870
site_111,111,"Sector - 62, Noida - IITM",Noida,9,2017,2025,9,2017,2025,2882,9,2017,2025,2913
site_1437,1437,"Model Town, Patiala - PPCB",Patiala,9,2017,2025,8,2018,2025,2882,8,2018,2025,2882
site_1425,1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",New Delhi,9,2017,2025,8,2018,2025,2879,8,2018,2025,2871
site_1406,1406,"Secretariat, Amaravati - APPCB",Velgapudi,9,2017,2025,9,2017,2025,2878,9,2017,2025,2885
site_1434,1434,"Wazirpur, Delhi - DPCC",Delhi,9,2017,2025,8,2018,2025,2877,8,2018,2025,2789
site_1423,1423,"Jahangirpuri, Delhi - DPCC",Delhi,9,2017,2025,8,2018,2025,2873,8,2018,2025,2868
site_1403,1403,"Sector-D Industrial Area, Mandideep - MPPCB",Bhopal,9,2017,2025,8,2018,2025,2871,8,2018,2025,2876
site_1429,1429,"Nehru Nagar, Delhi - DPCC",New Delhi,9,2017,2025,8,2018,2025,2871,8,2018,2025,2873
site_1416,1416,"Padmapukur, Howrah - WBPCB",Howrah,9,2017,2025,8,2018,2025,2867,8,2018,2025,2864
site_1432,1432,"Sonia Vihar, Delhi - DPCC",New Delhi,9,2017,2025,8,2018,2025,2867,8,2018,2025,2859
site_1431,1431,"Patparganj, Delhi - DPCC",Delhi,9,2017,2025,8,2018,2025,2864,8,2018,2025,2848
site_1426,1426,"Narela, Delhi - DPCC",Delhi,9,2017,2025,8,2018,2025,2863,8,2018,2025,2864
site_1430,1430,"Rohini, Delhi - DPCC",Delhi,9,2017,2025,8,2018,2025,2863,8,2018,2025,2876
site_1424,1424,"Jawaharlal Nehru Stadium, Delhi - DPCC",New Delhi,9,2017,2025,8,2018,2025,2862,8,2018,2025,2827
site_1435,1435,"Vivek Vihar, Delhi - DPCC",New Delhi,9,2017,2025,8,2018,2025,2862,8,2018,2025,2867
site_1427,1427,"Najafgarh, Delhi - DPCC",Delhi,9,2017,2025,8,2018,2025,2861,8,2018,2025,2848
site_1419,1419,"Ward-32 Bapupara, Siliguri - WBPCB",Siliguri,9,2017,2025,8,2018,2025,2856,8,2018,2025,2845
