station_id,station_name,city,frequency,listed_files,first_year,last_year,status
site_5774,"Vijay Nagar, Sangli - MPCB",Adi,15M,4,2017,2025,success
site_5587,"Bardowali, Agartala - Tripura SPCB",Agartala,15M,9,2017,2025,success
site_5377,"Kunjaban, Agartala - Tripura SPCB",Agartala,15M,9,2017,2025,success
site_5464,"Manoharpur, Agra - UPPCB",Agra,15M,9,2017,2025,success
site_307,"Sanjay Palace, Agra - UPPCB",Agra,15M,10,2016,2025,success
site_5465,"Sector-3B Avas Vikas Colony, Agra - UPPCB",Agra,15M,9,2017,2025,success
site_5501,"Shahjahan Garden, Agra - UPPCB",Agra,15M,9,2017,2025,success
site_5463,"Shastripuram, Agra - UPPCB",Agra,15M,9,2017,2025,success
site_5785,"Tarakpur, Ahmednagar - MPCB",Ahilyanagar,15M,4,2017,2025,success
site_5453,"Chandkheda, Ahmedabad - IITM",Ahmedabad,15M,9,2017,2025,success
site_5450,"Gyaspur, Ahmedabad - IITM",Ahmedabad,15M,9,2017,2025,success
site_308,"Maninagar, Ahmedabad - GPCB",Ahmedabad,15M,17,2009,2025,success
site_5067,"Phase-4 GIDC, Vatva - GPCB",Ahmedabad,15M,9,2017,2025,success
site_5452,"Raikhad, Ahmedabad - IITM",Ahmedabad,15M,9,2017,2025,success
site_5451,"Rakhial, Ahmedabad - IITM",Ahmedabad,15M,9,2017,2025,success
site_5454,"SAC ISRO Bopal, Ahmedabad - IITM",Ahmedabad,15M,9,2017,2025,success
site_5455,"SAC ISRO Satellite, Ahmedabad - IITM",Ahmedabad,15M,9,2017,2025,success
site_5456,"SVPI Airport Hansol, Ahmedabad - IITM",Ahmedabad,15M,9,2017,2025,success
site_5449,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",Ahmedabad,15M,9,2017,2025,success
site_5346,"Sikulpuikawn, Aizawl - Mizoram PCB",Aizawl,15M,9,2017,2025,success
site_1392,"Civil Lines,  Ajmer - RSPCB",Ajmer,15M,9,2017,2025,success
site_5784,"Ramdaspeth, Akola - MPCB",Akola,15M,4,2017,2025,success
site_5653,"Siltara Phase-II, Raipur - CECB",Akoli-2,15M,9,2017,2025,success
site_5814,"Kherwadi_Bandra East, Mumbai - MPCB",Aliyawar,15M,4,2017,2025,success
site_1390,"Moti Doongri, Alwar - RSPCB",Alwar,15M,9,2017,2025,success
site_5052,"Patti Mehar, Ambala - HSPCB",Ambala,15M,9,2017,2025,success
site_6073,"Chinchpada, Ambernath - MPCB",Ambernath,15M,0,,,success
site_5786,"Shivneri Colony, Amravati - MPCB",Amravati,15M,4,2017,2025,success
site_5787,"Shri Shivaji Science College, Amravati - MPCB",Amravati,15M,1,2025,2025,success
site_256,"Golden Temple, Amritsar - PPCB",Amritsar,15M,9,2017,2025,success
site_5632,"Gulzarpet, Anantapur - APPCB",Anantapur,15M,9,2017,2025,success
site_5939,"Hakimapada, Angul - OSPCB",Angul,15M,3,2023,2025,success
site_5065,"GIDC, Ankleshwar - GPCB",Ankleshwar,15M,9,2017,2025,success
site_5539,"Kharahiya Basti, Araria - BSPCB",Araria,15M,9,2017,2025,success
site_5538,"New DM Office, Arrah - BSPCB",Arrah,15M,9,2017,2025,success
site_293,"Alandur Bus Depot, Chennai - CPCB",Arul Nagar,15M,17,2009,2025,success
site_1418,"Asansol Court Area, Asansol - WBPCB",Asansol,15M,9,2017,2025,success
site_5985,"Evelyn Lodge, Asansol - WBPCB",Asansol,15M,2,2024,2025,success
site_5544,"Gurdeo Nagar, Aurangabad - BSPCB",Aurangabad,15M,9,2017,2025,success
site_5666,"Vaikuntapuram, Tirupati - APPCB",Avilali,15M,6,2017,2025,success
site_5586,"HIMUDA Complex Phase-1, Baddi - HPPCB",Baddi,15M,9,2017,2025,success
site_5798,"Katrap, Badlapur - MPCB",Badlapur,15M,4,2017,2025,success
site_5264,"Vidayagiri, Bagalkot - KSPCB",Bagalkot,15M,9,2017,2025,success
site_5045,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,15M,9,2017,2025,success
site_5585,"Sardar Patel Inter College, Baghpat - UPPCB",Bali,15M,9,2017,2025,success
site_5344,"Teri Gram, Gurugram - HSPCB",Bandhwari,15M,9,2017,2025,success
site_5711,"Rati Talai, Banswara - RSPCB",Banswara,15M,4,2017,2025,success
site_5775,"Bamboliya, Baran - RSPCB",Baran,15M,4,2017,2025,success
site_5541,"Mayaganj, Bhagalpur - BSPCB",Barari,15M,9,2017,2025,success
site_5938,"Forest Office, Barbil - OSPCB",Barbil,15M,3,2023,2025,success
site_5628,"Civil Lines, Bareilly - UPPCB",Bareilly,15M,9,2017,2025,success
site_5601,"Rajendra Nagar, Bareilly - UPPCB",Bareilly,15M,9,2017,2025,success
site_5670,"Meher Colony, Baripada - OSPCB",Baripada,15M,6,2017,2025,success
